label,n,profitable,losses,loss_rate,unique_configs,price_mean,price_sd,price_min,price_max,cards_mean,cards_min,cards_max,profit_mean,coverCore,coverNice,coverage_efficiency,COGS,dCOGS,nre_total_wan,fixedCost,q_to_breakeven,price_wtp_ratio,actualGm,double_squeeze
formal baseline,42,30,12,0.285714,42,2735.714286,881.778892,1000,4900,8.690476,6,11,9340582.142857,0.477143,0.592857,0.055606,1245.428571,645.428571,195.424286,3454242.857143,3.556455,0.474132,0.27581,8
six-dimension D4 only,42,20,22,0.52381,42,2826.190476,1002.392263,1000,4900,12.380952,8,17,1730720.714286,0.52123,0.679762,0.042686,1544.071429,944.071429,282.388571,4323885.714286,1.747521,0.489409,0.176662,12
six-dimension D4+satisfice min6,42,16,26,0.619048,41,2661.904762,902.629065,1000,4800,13.595238,8,21,723996.833333,0.537698,0.708333,0.041143,1625.714286,1025.714286,318.575714,4685757.142857,2.06605,0.459522,0.103536,9
six-dimension D4+satisfice unlimited,42,10,32,0.761905,42,2854.761905,1058.121062,1000,5800,13.380952,9,18,-3607612.047619,0.533611,0.677381,0.039869,1695.714286,1095.714286,330.845714,4808457.142857,0.80825,0.49332,0.117048,16
