persona_id,persona_label,n,min_loss_rate,unlimited_loss_rate,min_cards,unlimited_cards,min_price_sd,unlimited_price_sd,min_profit_mean,unlimited_profit_mean
A,草根老板,6,1,0.666667,14.333333,11.5,240.947205,933.482131,-5397155.5,-1347618.5
D,二代接班人,6,0.5,0.666667,15.833333,15.333333,682.316316,410.960934,3030134.166667,-3744787.5
E,体制转型者,6,0.666667,0.666667,13.666667,14.166667,743.11656,1327.17327,6524416,-471428.166667
B,职业经理人,6,0.833333,1,16.333333,14.666667,701.585506,561.743318,-7025345.666667,-8744915.833333
F,销售铁军,6,0.166667,0.833333,11.5,15,186.338998,160.727513,1645712.666667,-6867123
C,技术创业者,6,0.5,0.666667,10.666667,11.833333,520.949987,1149.879221,5944683.833333,259490.666667
G,互联网PM转型,6,0.666667,0.833333,12.833333,11.166667,758.104361,508.811251,345532.333333,-4336902
