source_chain_key,persona_id,persona_label,condition,rep,baseline_cards,chat_cards,baseline_price,chat_price,baseline_profit,chat_profit,baseline_loss,chat_loss,price_delta,profit_delta,card_delta,d4_attempts,d5_attempts
A|Q|1,A,草根老板,Q,1,9,10,3000,1500,-139604,-1247528,1,1,-1500,-1107924,1,6,1
D|Q|1,D,二代接班人,Q,1,9,13,2900,3900,1076205,3421416,0,0,1000,2345211,4,6,1
E|Q|1,E,体制转型者,Q,1,8,10,3800,3800,13521399,649900,0,0,0,-12871499,2,6,1
B|Q|1,B,职业经理人,Q,1,10,12,2900,1900,27287884,-3672200,0,1,-1000,-30960084,2,8,1
F|Q|1,F,销售铁军,Q,1,9,13,1200,1200,-4261972,-7312880,1,1,0,-3050908,4,7,1
C|Q|1,C,技术创业者,Q,1,7,12,2000,2000,1505149,-2374745,0,1,0,-3879894,5,6,1
G|Q|1,G,互联网PM转型,Q,1,10,12,1900,3900,-83858,-1184075,1,1,2000,-1100217,2,6,1
