metric,Benchmark · individual · simple,Benchmark · individual · layered,Benchmark · team · simple,Benchmark · team · layered,Roleplay · individual,Roleplay · team,"Human (16 teams, price mapped)"
Price mean,4411 (53),4601 (47),4384 (67),4595 (56),4296 (134),3600 (109),4077
Price CV,0.11 (0.02),0.13 (0.01),0.10 (0.01),0.11 (0.01),0.21 (0.01),0.28 (0.03),0.28
Loss rate,0.12 (0.04),0.16 (0.06),0.11 (0.06),0.05 (0.03),0.53 (0.06),0.63 (0.05),0.62
Cards chosen,9.2 (0.1),9.6 (0.2),10.3 (0.2),10.7 (0.1),14.6 (0.4),12.4 (0.2),13.6
Cost-leadership share,0.01 (0.01),0.00 (0.00),0.01 (0.02),0.01 (0.02),0.32 (0.05),0.30 (0.07),0.25
