info,cell,n_dyads,teams,same_side_rate,cross_rate,diff,perm_p
info,aligned,168,14,0.64,0.54,0.11,0.125
info,crosscut,192,16,0.69,0.5,0.19,0.011
noinfo,aligned,168,14,0.61,0.57,0.04,0.388
noinfo,crosscut,192,16,0.66,0.47,0.19,0.009
info,all,360,30,0.67,0.52,0.15,0.005
noinfo,all,360,30,0.63,0.52,0.12,0.025
