design,n,discussion lines mean (SD),beta info→length (SE),p,with composition controls (SE),p
"Roleplay team (frozen, 5 rounds)",201,59.1 (7.4),-0.13 (0.07),0.058,-0.11 (0.05),0.044
Designed teams (single round),231,59.6 (8.1),-0.13 (0.06),0.046,-0.13 (0.06),0.041
Benchmark team simple (5 rounds),210,11.3 (2.6),+0.12 (0.07),0.094,+0.11 (0.07),0.113
Benchmark team layered (5 rounds),210,12.4 (3.5),+0.04 (0.09),0.687,-0.00 (0.10),0.988
difference roleplay − benchmark simple (with controls),,,,,-0.22 (0.09),0.013
