line,teams,announcements,public_eq_private,n_conflict,follow_majority,leader_keeps_own
Sequential per-member D5 (probe),11,55,0.95,17,0.18,0.91
Frozen team B single-writer D5 (keyword stance),201,726,0.69,224,0.5,0.69
