subscale,Grid (Jul) SD ratio,Repr-pool plain SD ratio,A: Repr+warm+satisfice SD ratio
reliable,0.51,0.96,0.78
competent,0.35,0.84,0.82
ethical,0.46,0.76,0.64
sincere,0.49,0.84,0.76
benevolent,0.4,0.76,0.8
confidence,0.24,0.59,0.57
Overall (5 dims),0.44,0.83,0.76
